generation,cells_visited,cave_entries,predator_touches,drained_ticks,food_total,lifetime,cave_entries_day,cave_entries_night,energy_at_death,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,604.8190954773869,0.20100502512562815,0.0,0.0,7.547738693467337,2082.5628140703516,0.08542713567839195,0.11557788944723618,-1.0358793969849245,0.1904127829560586,0.5992010652463382,0.17177097203728361,0.03861517976031957,0.575
2,676.4833333333333,0.35555555555555557,0.0,0.0,6.366666666666666,2008.9888888888888,0.15555555555555556,0.2,-0.7115555555555555,0.16753926701570682,0.5898778359511344,0.18673647469458987,0.055846422338568937,0.5625
3,740.1634615384615,0.5432692307692307,0.0,0.0,5.543269230769231,2040.0,0.25961538461538464,0.28365384615384615,-0.9365384615384615,0.19080659150043366,0.4440589765828274,0.1873373807458803,0.17779705117085862,0.5221238938053098
4,768.3935483870968,0.6387096774193548,0.0,0.0,4.658064516129032,2088.3870967741937,0.32903225806451614,0.3096774193548387,-0.8550322580645161,0.203601108033241,0.42382271468144045,0.28254847645429365,0.09002770083102493,0.48484848484848486
5,754.6910994764398,0.3769633507853403,0.0,0.0,6.303664921465969,2002.2513089005236,0.18848167539267016,0.18848167539267016,-0.8434031413612566,0.11710963455149502,0.5822259136212624,0.24667774086378738,0.05398671096345515,0.5
6,774.0449438202247,0.2640449438202247,0.0,0.0,5.910112359550562,2038.8988764044943,0.1348314606741573,0.12921348314606743,-0.6100561797752808,0.18155893536121673,0.45722433460076045,0.2376425855513308,0.12357414448669202,0.48936170212765956
7,787.3605442176871,0.40816326530612246,0.0,0.0,4.666666666666667,2093.9455782312925,0.19727891156462585,0.2108843537414966,-0.8621768707482993,0.1836734693877551,0.42857142857142855,0.2784256559766764,0.10932944606413994,0.5166666666666667
8,780.8112449799197,0.3333333333333333,0.0,0.0,7.104417670682731,2023.3333333333333,0.14859437751004015,0.18473895582329317,-0.7539759036144579,0.0994912379875636,0.6416054267947994,0.1814584511023177,0.07744488411531938,0.5542168674698795
9,761.6412556053812,0.5515695067264574,0.0,0.0,6.174887892376682,2024.6367713004483,0.2914798206278027,0.2600896860986547,0.32748878923766817,0.14742193173565724,0.47639796659404504,0.2962962962962963,0.07988380537400146,0.4715447154471545
10,752.0473933649289,0.46919431279620855,0.0,0.0,4.800947867298579,2077.8530805687205,0.2037914691943128,0.26540284360189575,-0.6072985781990521,0.13425468904244817,0.368213228035538,0.3336623889437315,0.16386969397828233,0.5656565656565656
